month,year,births,date,t,year_idx,month_idx,log_births
5,2011,5353,2011-05-15,2011.3333333333333,45,4,8.585412430393381
6,2011,5392,2011-06-15,2011.4166666666667,45,5,8.592671652592143
7,2011,5566,2011-07-15,2011.5,45,6,8.624431942085836
8,2011,5562,2011-08-15,2011.5833333333333,45,7,8.62371303479391
9,2011,5017,2011-09-15,2011.6666666666667,45,8,8.520587424484253
10,2011,4882,2011-10-15,2011.75,45,9,8.493310250952906
11,2011,4494,2011-11-15,2011.8333333333333,45,10,8.410498452745275
12,2011,4400,2011-12-15,2011.9166666666667,45,11,8.389359819906353
1,2012,4956,2012-01-15,2012.0,46,0,8.508354242749032
2,2012,4636,2012-02-15,2012.0833333333333,46,1,8.441607204459642
3,2012,5173,2012-03-15,2012.1666666666667,46,2,8.551208070003515
4,2012,4880,2012-04-15,2012.25,46,3,8.492900498847193
5,2012,5345,2012-05-15,2012.3333333333333,46,4,8.583916823459145
6,2012,5354,2012-06-15,2012.4166666666667,46,5,8.585599224080298
7,2012,5587,2012-07-15,2012.5,46,6,8.628197749459149
8,2012,5528,2012-08-15,2012.5833333333333,46,7,8.617581365447506
9,2012,5087,2012-09-15,2012.6666666666667,46,8,8.534443544822764
10,2012,4833,2012-10-15,2012.75,46,9,8.483222671845084
11,2012,4469,2012-11-15,2012.8333333333333,46,10,8.404919948933452
12,2012,4407,2012-12-15,2012.9166666666667,46,11,8.390949464841986
1,2013,4729,2013-01-15,2013.0,47,0,8.461469042643875
2,2013,4510,2013-02-15,2013.0833333333333,47,1,8.414052432496725
3,2013,4940,2013-03-15,2013.1666666666667,47,2,8.505120610181969
4,2013,5033,2013-04-15,2013.25,47,3,8.52377150677636
5,2013,5478,2013-05-15,2013.3333333333333,47,4,8.608495349823023
6,2013,5167,2013-06-15,2013.4166666666667,47,5,8.550047528287184
7,2013,5671,2013-07-15,2013.5,47,6,8.643120748014027
8,2013,5241,2013-08-15,2013.5833333333333,47,7,8.564267598802166
9,2013,4815,2013-09-15,2013.6666666666667,47,8,8.479491324232226
10,2013,4754,2013-10-15,2013.75,47,9,8.46674164792014
11,2013,4398,2013-11-15,2013.8333333333333,47,10,8.388905171114706
12,2013,4259,2013-12-15,2013.9166666666667,47,11,8.356789669923213
1,2014,4885,2014-01-15,2014.0,48,0,8.493924564476883
